Dataset,Model,AP,IoU Threshold
mva23_val,FOMO 50e,0.0015757220749856831,0.01
mva23_val,FOMO 50e SAHI 800p,0.0015757220749856831,0.01
mva23_val,YOLO12n 640px,0.41737008577476564,0.01
mva23_val,YOLO12n 1088px,0.6952699518627306,0.01
mva23_val,baseline,0.8834476022396045,0.01
vid1,FOMO 50e,0.5640818216549945,0.01
vid1,FOMO 50e SAHI 800p,0.261211924228895,0.01
vid1,YOLO12n 640px,0.4520114469891865,0.01
vid1,YOLO12n 1088px,0.2567833186042372,0.01
vid1,baseline,0.7949855753173879,0.01
skb_test,FOMO 50e,0.44845855509486465,0.01
skb_test,FOMO 50e SAHI 800p,0.17071560452526396,0.01
skb_test,YOLO12n 640px,0.22979237801801838,0.01
skb_test,YOLO12n 1088px,0.12769351919820082,0.01
skb_test,baseline,0.44218935239608903,0.01
